Sexo;Idade;Raça;Escolaridade;Rendimento mensal;Horas trabalhadas por semana;Região do domicílio;Número de pessoas no domicílio
Mulher;46;Branca;Médio completo ou equivalente;900;24;Urbana;3
Homem;34;Branca;Médio completo ou equivalente;2000;40;Urbana;3
Mulher;40;Parda;Superior completo;3000;44;Urbana;5
Homem;57;Preta;Fundamental completo ou equivalente;1800;40;Urbana;3
Homem;29;Parda;Médio completo ou equivalente;1900;45;Urbana;2
Mulher;25;Branca;Superior completo;4500;60;Urbana;3
Homem;20;Parda;Médio incompleto ou equivalente;2000;44;Urbana;4
Mulher;23;Branca;Superior incompleto ou equivalente;200;8;Urbana;4
Homem;20;Parda;Médio completo ou equivalente;1500;24;Urbana;3
Mulher;59;Branca;Médio completo ou equivalente;1550;44;Urbana;2
Homem;31;Branca;Médio completo ou equivalente;3000;44;Urbana;2
Homem;30;Parda;Fundamental incompleto ou equivalente;50;8;Rural;4
Homem;56;Branca;Médio completo ou equivalente;1600;48;Urbana;5
Mulher;28;Parda;Médio completo ou equivalente;370;39;Rural;4
Mulher;44;Branca;Fundamental incompleto ou equivalente;700;40;Rural;2
Homem;49;Parda;Médio incompleto ou equivalente;2000;32;Urbana;3
Homem;49;Branca;Fundamental incompleto ou equivalente;1535;44;Urbana;6
Homem;50;Parda;Fundamental incompleto ou equivalente;1045;50;Urbana;3
Homem;40;Branca;Superior completo;15000;45;Urbana;1
Mulher;32;Preta;Superior incompleto ou equivalente;2500;50;Urbana;1
Mulher;20;Parda;Médio completo ou equivalente;1045;44;Urbana;4
Homem;29;Branca;Superior incompleto ou equivalente;6000;30;Urbana;2
Homem;60;Branca;Fundamental incompleto ou equivalente;2000;50;Rural;3
Homem;59;Preta;Sem instrução e menos de 1 ano de estudo;100;12;Urbana;4
Homem;29;Branca;Médio completo ou equivalente;800;20;Urbana;4
Homem;29;Branca;Médio completo ou equivalente;1000;44;Urbana;3
Homem;53;Branca;Superior completo;3500;60;Urbana;1
Mulher;44;Parda;Médio completo ou equivalente;2500;40;Urbana;4
Homem;38;Parda;Fundamental completo ou equivalente;2000;44;Urbana;4
Homem;27;Parda;Fundamental incompleto ou equivalente;1045;40;Urbana;5
Mulher;35;Branca;Médio completo ou equivalente;1064;44;Urbana;4
Homem;28;Parda;Médio completo ou equivalente;1045;44;Urbana;4
Mulher;19;Branca;Fundamental completo ou equivalente;200;20;Urbana;5
